MATRICULA,SIT._LIG_AGUA,SIT._LIG_ESGOTO,NUMERO_HIDROMETRO,TIPO_HIDROMETRO,MARCA_HIDROMETRO,CAPACIDADE_HIDROMETRO,DIAMETRO_HIDROMETRO,CLASSE_METROLOGICA,DATA_INSTALACAO_HIDROMETRO,CATEGORIA_PRINCIPAL,NUMERO_ECONOMIAS_RES,NUMERO_ECONOMIAS_COM,NUMERO_ECONOMIAS_IND,NUMERO_ECONOMIAS_PUB,VOLUME_LIDO,VOLUME_REAL,VOLUME_FATURADO,VALOR_AGUA,VALOR_ESGOTO,VALOR_SERVICOS,VALOR_IMPOSTOS,VALOR_DESCONTOS,VALOR_TOTAL,VOLUME_LIDO_01,VOLUME_REAL_01,VOLUME_FATURADO_01,VALOR_AGUA_01,VALOR_ESGOTO_01,VALOR_SERVICOS_01,VALOR_IMPOSTOS_01,VALOR_DESCONTOS_01,VALOR_TOTAL_01,VOLUME_LIDO_02,VOLUME_REAL_02,VOLUME_FATURADO_02,VALOR_AGUA_02,VALOR_ESGOTO_02,VALOR_SERVICOS_02,VALOR_IMPOSTOS_02,VALOR_DESCONTOS_02,VALOR_TOTAL_02,VOLUME_LIDO_03,VOLUME_REAL_03,VOLUME_FATURADO_03,VALOR_AGUA_03,VALOR_ESGOTO_03,VALOR_SERVICOS_03,VALOR_IMPOSTOS_03,VALOR_DESCONTOS_03,VALOR_TOTAL_03,VOLUME_LIDO_04,VOLUME_REAL_04,VOLUME_FATURADO_04,VALOR_AGUA_04,VALOR_ESGOTO_04,VALOR_SERVICOS_04,VALOR_IMPOSTOS_04,VALOR_DESCONTOS_04,VALOR_TOTAL_04,VOLUME_LIDO_05,VOLUME_REAL_05,VOLUME_FATURADO_05,VALOR_AGUA_05,VALOR_ESGOTO_05,VALOR_SERVICOS_05,VALOR_IMPOSTOS_05,VALOR_DESCONTOS_05,VALOR_TOTAL_05,VOLUME_LIDO_06,VOLUME_REAL_06,VOLUME_FATURADO_06,VALOR_AGUA_06,VALOR_ESGOTO_06,VALOR_SERVICOS_06,VALOR_IMPOSTOS_06,VALOR_DESCONTOS_06,VALOR_TOTAL_06,VOLUME_LIDO_07,VOLUME_REAL_07,VOLUME_FATURADO_07,VALOR_AGUA_07,VALOR_ESGOTO_07,VALOR_SERVICOS_07,VALOR_IMPOSTOS_07,VALOR_DESCONTOS_07,VALOR_TOTAL_07,VOLUME_LIDO_08,VOLUME_REAL_08,VOLUME_FATURADO_08,VALOR_AGUA_08,VALOR_ESGOTO_08,VALOR_SERVICOS_08,VALOR_IMPOSTOS_08,VALOR_DESCONTOS_08,VALOR_TOTAL_08,VOLUME_LIDO_09,VOLUME_REAL_09,VOLUME_FATURADO_09,VALOR_AGUA_09,VALOR_ESGOTO_09,VALOR_SERVICOS_09,VALOR_IMPOSTOS_09,VALOR_DESCONTOS_09,VALOR_TOTAL_09,VOLUME_LIDO_10,VOLUME_REAL_10,VOLUME_FATURADO_10,VALOR_AGUA_10,VALOR_ESGOTO_10,VALOR_SERVICOS_10,VALOR_IMPOSTOS_10,VALOR_DESCONTOS_10,VALOR_TOTAL_10,VOLUME_LIDO_11,VOLUME_REAL_11,VOLUME_FATURADO_11,VALOR_AGUA_11,VALOR_ESGOTO_11,VALOR_SERVICOS_11,VALOR_IMPOSTOS_11,VALOR_DESCONTOS_11,VALOR_TOTAL_11,VOLUME_LIDO_12,VOLUME_REAL_12,VOLUME_FATURADO_12,VALOR_AGUA_12,VALOR_ESGOTO_12,VALOR_SERVICOS_12,VALOR_IMPOSTOS_12,VALOR_DESCONTOS_12,VALOR_TOTAL_12
944991-4,Cancelada,Ativa,,,,,,,,Residencial,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944993-0,Cancelada,Ativa,,,,,,,,Residencial,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946263-5,Ativa,Ativa,Y20S145874,UNIJATO - PRÉ EQUIPADO,MARCA D,"1,6","3/4""",Classe B,17/09/2020,Residencial,1.0,,,,0.0,0.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,0.0,0.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,999999.0,10.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,0.0,0.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,0.0,0.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,0.0,0.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,5.0,5.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93,16.0,16.0,16.0,104.06,83.25,0.0,0.0,0.0,187.31,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93,14.0,14.0,14.0,85.86,68.69,0.0,0.0,0.0,154.55,16.0,16.0,16.0,104.06,83.25,0.0,0.0,0.0,187.31
947889-2,Ativa,Ativa,A23AA0210879,Multijato,MARCA A,"1,5","3/4""",Classe B,27/03/2024,Residencial,1.0,,,,30.0,30.0,30.0,260.92,208.74,0.0,0.0,0.0,469.66,16.0,16.0,16.0,108.95,87.16,0.0,0.0,0.0,196.11,6.0,6.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,23.0,23.0,23.0,175.66,140.53,0.0,0.0,0.0,316.19,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,23.0,23.0,23.0,167.76,134.21,0.0,0.0,0.0,301.97,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,18.0,18.0,18.0,122.26,97.81,0.0,0.0,0.0,220.07,8.0,8.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,16.0,16.0,16.0,104.06,83.25,0.0,0.0,0.0,187.31,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,17.0,17.0,17.0,113.16,90.53,0.0,0.0,0.0,203.69,15.0,15.0,15.0,94.96,75.97,0.0,0.0,0.0,170.93
948465-5,Cancelada,Ativa,,,,,,,,Residencial,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951852-5,Ativa,Ativa,Y21S228833,Unijato,MARCA A,"1,6","3/4""",Classe B,26/07/2022,Residencial,1.0,,,,15.0,15.0,15.0,99.42,79.54,4.34,0.0,0.0,183.3,14.0,14.0,14.0,89.89,71.91,8.68,0.0,0.0,170.48,14.0,14.0,14.0,89.89,71.91,3.29,0.0,0.0,165.09,13.0,13.0,13.0,80.36,64.29,4.97,0.0,0.0,149.62,23.0,23.0,23.0,167.76,134.21,4.48,0.0,0.0,306.45,11.0,11.0,11.0,58.56,46.85,5.56,0.0,0.0,110.97,15.0,15.0,15.0,94.96,75.97,4.69,0.0,0.0,175.62,14.0,14.0,14.0,85.86,68.69,0.0,0.0,0.0,154.55,16.0,16.0,16.0,104.06,83.25,6.57,0.0,0.0,193.88,14.0,14.0,14.0,85.86,68.69,5.31,0.0,0.0,159.86,18.0,18.0,18.0,122.26,97.81,8.85,0.0,0.0,228.92,18.0,18.0,18.0,122.26,97.81,6.45,0.0,0.0,226.52,16.0,16.0,16.0,104.06,83.25,0.0,0.0,0.0,187.31
952409-6,Ativa,Ativa,Y20S145809,UNIJATO - PRÉ EQUIPADO,MARCA D,"1,6","3/4""",Classe B,19/08/2020,Residencial,1.0,,,,17.0,17.0,17.0,118.48,94.78,145.69,0.0,0.0,358.95,14.0,14.0,14.0,89.89,71.91,145.69,0.0,0.0,307.49,19.0,19.0,19.0,137.54,110.03,145.69,0.0,0.0,393.26,21.0,21.0,21.0,156.6,125.28,139.18,0.0,0.0,421.06,18.0,18.0,18.0,122.26,97.81,139.18,0.0,0.0,359.25,17.0,17.0,17.0,113.16,90.53,139.18,0.0,0.0,342.87,17.0,17.0,17.0,113.16,90.53,160.56,0.0,0.0,364.25,20.0,20.0,20.0,140.46,112.37,139.18,0.0,0.0,392.01,35.0,35.0,35.0,312.46,249.97,150.49,0.0,0.0,712.92,18.0,18.0,18.0,122.26,97.81,163.38,0.0,0.0,383.45,16.0,16.0,16.0,104.06,83.25,139.18,0.0,0.0,326.49,16.0,16.0,16.0,104.06,83.25,139.18,0.0,0.0,326.49,16.0,16.0,16.0,104.06,83.25,144.65,0.0,0.0,331.96
952410-0,Ativa,Ativa,Y21S227260,Unijato,MARCA A,"1,6","3/4""",Classe B,27/04/2022,Residencial,1.0,,,,11.0,11.0,11.0,61.3,49.04,0.0,0.0,0.0,110.34,13.0,13.0,13.0,80.36,64.29,0.0,0.0,0.0,144.65,9.0,9.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,7.0,7.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,9.0,9.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,9.0,9.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,9.0,9.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,7.0,7.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03
954191-8,Ativa,Ativa,Y21S227255,Unijato,MARCA A,"1,6","3/4""",Classe B,27/04/2022,Residencial,1.0,,,,10.0,10.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,9.0,9.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,9.0,9.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,21.0,21.0,21.0,156.6,125.28,0.0,0.0,0.0,281.88,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,12.0,12.0,12.0,67.66,54.13,0.0,0.0,0.0,121.79,11.0,11.0,11.0,58.56,46.85,0.0,0.0,0.0,105.41
954574-3,Ativa,Ativa,Y19S048657,UNIJATO - PRÉ EQUIPADO,MARCA D,"1,6","3/4""",Classe B,27/06/2019,Residencial,1.0,,,,41.0,41.0,41.0,406.56,325.25,0.0,0.0,0.0,731.81,25.0,25.0,25.0,194.72,155.78,0.0,0.0,0.0,350.5,2.0,2.0,10.0,51.77,41.42,0.0,0.0,0.0,93.19,10.0,10.0,10.0,51.77,41.42,5.06,0.0,0.0,98.25,5.0,5.0,10.0,49.46,39.57,4.07,0.0,0.0,93.1,8.0,8.0,10.0,49.46,39.57,3.21,0.0,0.0,92.24,7.0,7.0,10.0,49.46,39.57,3.03,0.0,0.0,92.06,11.0,11.0,11.0,58.56,46.85,6.55,0.0,0.0,111.96,8.0,8.0,10.0,49.46,39.57,4.52,0.0,0.0,93.55,7.0,7.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,10.0,10.0,10.0,49.46,39.57,3.6,0.0,0.0,92.63,7.0,7.0,10.0,49.46,39.57,0.0,0.0,0.0,89.03,11.0,11.0,11.0,58.56,46.85,2.3,0.0,0.0,107.71
